,car_model,year_of_manufacture,price,fuel,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
327,800,2003,522.3880597015,Petrol,297.0,267.0,237.0,207.0,177.0,,
328,alto k10,2016,4477.6119402985,Petrol,298.0,268.0,238.0,208.0,178.0,,
329,sx4,2003,3358.2089552239,Petrol,299.0,269.0,239.0,209.0,179.0,,
330,fortuner,2012,22238.8059701493,Diesel,300.0,270.0,240.0,210.0,180.0,,
331,fortuner,2015,34328.3582089552,Diesel,301.0,271.0,241.0,211.0,181.0,,
332,innova,2017,26865.671641791,Diesel,302.0,272.0,242.0,212.0,182.0,,
333,fortuner,2013,23880.5970149254,Diesel,303.0,273.0,243.0,213.0,183.0,,
334,innova,2005,4104.4776119403,Petrol,304.0,274.0,244.0,214.0,184.0,,
335,corolla altis,2009,5373.1343283582,Petrol,305.0,275.0,245.0,215.0,185.0,,
336,etios cross,2015,6716.4179104478,Petrol,306.0,276.0,246.0,216.0,186.0,,
337,corolla altis,2010,7089.552238806,Petrol,307.0,277.0,247.0,217.0,187.0,,
338,etios g,2014,6119.4029850746,Petrol,308.0,278.0,248.0,218.0,188.0,,
339,fortuner,2014,29835.8208955224,Diesel,309.0,279.0,249.0,219.0,189.0,,
340,baleno,2016,8731.3432835821,Petrol,310.0,280.0,250.0,220.0,190.0,,
341,alto k10,2014,3805.9701492537,Petrol,311.0,281.0,251.0,221.0,191.0,,
342,sx4,2008,2910.447761194,Petrol,312.0,282.0,252.0,222.0,192.0,,
343,dzire,2014,8208.9552238806,Diesel,313.0,283.0,253.0,223.0,193.0,,
344,omni,2012,1865.671641791,Petrol,314.0,284.0,254.0,224.0,194.0,,
345,ciaz,2014,11194.0298507463,Petrol,315.0,285.0,255.0,225.0,195.0,,
346,ritz,2013,3955.223880597,Petrol,316.0,286.0,256.0,226.0,196.0,,
347,wagon r,2006,1567.1641791045,Petrol,317.0,287.0,257.0,227.0,197.0,,
348,ertiga,2015,8656.7164179104,Petrol,318.0,288.0,258.0,228.0,198.0,,
349,ciaz,2017,11567.1641791045,Petrol,319.0,289.0,259.0,229.0,199.0,,
350,corolla altis,2016,21985.07462686568,Diesel,320.0,290.0,260.0,230.0,200.0,,
351,etios gd,2015,7089.55223880597,Diesel,321.0,291.0,261.0,231.0,201.0,,
352,innova,2017,34328.35820895522,Diesel,322.0,292.0,262.0,232.0,202.0,,
353,innova,2015,18656.716417910447,Diesel,323.0,293.0,263.0,233.0,203.0,,
354,innova,2005,5208.955223880597,Diesel,324.0,294.0,264.0,234.0,204.0,,
355,camry,2006,3731.3432835820895,Petrol,325.0,295.0,265.0,235.0,205.0,,
356,land cruiser,2010,52238.80597014925,Diesel,326.0,296.0,266.0,236.0,206.0,,
357,corolla altis,2012,8805.970149253732,Petrol,327.0,297.0,267.0,237.0,207.0,,
358,etios liva,2013,5149.253731343284,Petrol,328.0,298.0,268.0,238.0,208.0,,
359,etios g,2014,7089.55223880597,Petrol,329.0,299.0,269.0,239.0,209.0,,
360,etios liva,2014,5895.522388059701,Diesel,330.0,300.0,270.0,240.0,210.0,,
361,corolla altis,2011,6716.417910447762,Diesel,331.0,301.0,271.0,241.0,211.0,,
362,corolla altis,2013,11119.402985074626,Petrol,332.0,302.0,272.0,242.0,212.0,,
363,etios liva,2011,3955.223880597015,Petrol,333.0,303.0,273.0,243.0,213.0,,
364,etios cross,2014,7313.432835820897,Diesel,334.0,304.0,274.0,244.0,214.0,,
365,etios g,2015,5895.522388059701,Petrol,335.0,305.0,275.0,245.0,215.0,,
366,corolla altis,2013,8208.955223880597,Petrol,336.0,306.0,276.0,246.0,216.0,,
367,corolla,2004,2238.805970149254,Petrol,337.0,307.0,277.0,247.0,217.0,,
368,corolla altis,2010,7835.820895522388,Petrol,338.0,308.0,278.0,248.0,218.0,,
369,fortuner,2012,21641.79104477612,Diesel,339.0,309.0,279.0,249.0,219.0,,
370,corolla altis,2013,10373.134328358208,Petrol,340.0,310.0,280.0,250.0,220.0,,
371,etios cross,2015,6716.417910447762,Petrol,341.0,311.0,281.0,251.0,221.0,,
372,fortuner,2014,27985.07462686568,Diesel,342.0,312.0,282.0,252.0,222.0,,
373,fortuner,2015,35074.62686567164,Diesel,343.0,313.0,283.0,253.0,223.0,,
374,fortuner,2017,49253.73134328358,Diesel,344.0,314.0,284.0,254.0,224.0,,
375,etios liva,2014,7089.55223880597,Diesel,345.0,315.0,285.0,255.0,225.0,,
376,innova,2017,29477.611940298502,Petrol,346.0,316.0,286.0,256.0,226.0,,
377,fortuner,2010,13805.970149253732,Diesel,347.0,317.0,287.0,257.0,227.0,,
378,corolla altis,2011,6492.537313432835,Petrol,348.0,318.0,288.0,258.0,228.0,,
379,corolla altis,2016,21268.65671641791,Petrol,349.0,319.0,289.0,259.0,229.0,,
380,ritz,2012,4626.8656716418,Diesel,350.0,320.0,290.0,260.0,,,
381,ritz,2011,3507.4626865672,Petrol,351.0,321.0,291.0,261.0,,,
382,swift,2014,7388.0597014925,Diesel,352.0,322.0,292.0,262.0,,,
383,ertiga,2014,8955.223880597,Diesel,353.0,323.0,293.0,263.0,,,
384,dzire,2014,8208.9552238806,Diesel,354.0,324.0,294.0,264.0,,,
385,sx4,2011,4402.9850746269,CNG,355.0,325.0,295.0,265.0,,,
386,dzire,2015,6940.2985074627,Petrol,356.0,326.0,296.0,266.0,,,
387,800,2003,522.3880597015,Petrol,357.0,327.0,297.0,267.0,,,
388,alto k10,2016,4477.6119402985,Petrol,358.0,328.0,298.0,268.0,,,
389,sx4,2003,3358.2089552239,Petrol,359.0,329.0,299.0,269.0,,,
390,fortuner,2012,22238.8059701493,Diesel,360.0,330.0,300.0,270.0,,,
391,fortuner,2015,34328.3582089552,Diesel,361.0,331.0,301.0,271.0,,,
392,innova,2017,26865.671641791,Diesel,362.0,332.0,302.0,272.0,,,
393,fortuner,2013,23880.5970149254,Diesel,363.0,333.0,303.0,273.0,,,
394,innova,2005,4104.4776119403,Petrol,364.0,334.0,304.0,274.0,,,
395,corolla altis,2009,5373.1343283582,Petrol,365.0,335.0,305.0,275.0,,,
396,etios cross,2015,6716.4179104478,Petrol,366.0,336.0,306.0,276.0,,,
397,corolla altis,2010,7089.552238806,Petrol,367.0,337.0,307.0,277.0,,,
398,etios g,2014,6119.4029850746,Petrol,368.0,338.0,308.0,278.0,,,
399,fortuner,2014,29835.8208955224,Diesel,369.0,339.0,309.0,279.0,,,
400,baleno,2016,8731.3432835821,Petrol,370.0,340.0,310.0,280.0,,,
401,alto k10,2014,3805.9701492537,Petrol,371.0,341.0,311.0,281.0,,,
402,sx4,2008,2910.447761194,Petrol,372.0,342.0,312.0,282.0,,,
403,dzire,2014,8208.9552238806,Diesel,373.0,343.0,313.0,283.0,,,
404,omni,2012,1865.671641791,Petrol,374.0,344.0,314.0,284.0,,,
405,ciaz,2014,11194.0298507463,Petrol,375.0,345.0,315.0,285.0,,,
406,ritz,2013,3955.223880597,Petrol,376.0,346.0,316.0,286.0,,,
407,wagon r,2006,1567.1641791045,Petrol,377.0,347.0,317.0,287.0,,,
408,ertiga,2015,8656.7164179104,Petrol,378.0,348.0,318.0,288.0,,,
409,ciaz,2017,11567.1641791045,Petrol,379.0,349.0,319.0,289.0,,,
410,corolla altis,2016,21985.07462686568,Diesel,380.0,350.0,320.0,290.0,,,
411,etios gd,2015,7089.55223880597,Diesel,381.0,351.0,321.0,291.0,,,
412,innova,2017,34328.35820895522,Diesel,382.0,352.0,322.0,292.0,,,
413,innova,2015,18656.716417910447,Diesel,383.0,353.0,323.0,293.0,,,
414,innova,2005,5208.955223880597,Diesel,384.0,354.0,324.0,294.0,,,
415,camry,2006,3731.3432835820895,Petrol,385.0,355.0,325.0,295.0,,,
416,land cruiser,2010,52238.80597014925,Diesel,386.0,356.0,326.0,296.0,,,
417,corolla altis,2012,8805.970149253732,Petrol,387.0,357.0,327.0,297.0,,,
418,etios liva,2013,5149.253731343284,Petrol,388.0,358.0,328.0,298.0,,,
419,etios g,2014,7089.55223880597,Petrol,389.0,359.0,329.0,299.0,,,
420,etios liva,2014,5895.522388059701,Diesel,390.0,360.0,330.0,300.0,,,
421,corolla altis,2011,6716.417910447762,Diesel,391.0,361.0,331.0,301.0,,,
422,corolla altis,2013,11119.402985074626,Petrol,392.0,362.0,332.0,302.0,,,
423,etios liva,2011,3955.223880597015,Petrol,393.0,363.0,333.0,303.0,,,
424,etios cross,2014,7313.432835820897,Diesel,394.0,364.0,334.0,304.0,,,
425,etios g,2015,5895.522388059701,Petrol,395.0,365.0,335.0,305.0,,,
426,corolla altis,2013,8208.955223880597,Petrol,396.0,366.0,336.0,306.0,,,
427,corolla,2004,2238.805970149254,Petrol,397.0,367.0,337.0,307.0,,,
428,corolla altis,2010,7835.820895522388,Petrol,398.0,368.0,338.0,308.0,,,
429,fortuner,2012,21641.79104477612,Diesel,399.0,369.0,339.0,309.0,,,
430,corolla altis,2013,10373.134328358208,Petrol,400.0,370.0,340.0,310.0,,,
431,etios cross,2015,6716.417910447762,Petrol,401.0,371.0,341.0,311.0,,,
432,fortuner,2014,27985.07462686568,Diesel,402.0,372.0,342.0,312.0,,,
433,fortuner,2015,35074.62686567164,Diesel,403.0,373.0,343.0,313.0,,,
434,fortuner,2017,49253.73134328358,Diesel,404.0,374.0,344.0,314.0,,,
435,etios liva,2014,7089.55223880597,Diesel,405.0,375.0,345.0,315.0,,,
436,innova,2017,29477.611940298502,Petrol,406.0,376.0,346.0,316.0,,,
437,fortuner,2010,13805.970149253732,Diesel,407.0,377.0,347.0,317.0,,,
438,corolla altis,2011,6492.537313432835,Petrol,408.0,378.0,348.0,318.0,,,
439,corolla altis,2016,21268.65671641791,Petrol,409.0,379.0,349.0,319.0,,,
440,ritz,2012,4626.8656716418,Diesel,410.0,380.0,350.0,,,,
441,ritz,2011,3507.4626865672,Petrol,411.0,381.0,351.0,,,,
442,swift,2014,7388.0597014925,Diesel,412.0,382.0,352.0,,,,
443,ertiga,2014,8955.223880597,Diesel,413.0,383.0,353.0,,,,
444,dzire,2014,8208.9552238806,Diesel,414.0,384.0,354.0,,,,
445,sx4,2011,4402.9850746269,CNG,415.0,385.0,355.0,,,,
446,dzire,2015,6940.2985074627,Petrol,416.0,386.0,356.0,,,,
447,800,2003,522.3880597015,Petrol,417.0,387.0,357.0,,,,
448,alto k10,2016,4477.6119402985,Petrol,418.0,388.0,358.0,,,,
449,sx4,2003,3358.2089552239,Petrol,419.0,389.0,359.0,,,,
450,fortuner,2012,22238.8059701493,Diesel,420.0,390.0,360.0,,,,
451,fortuner,2015,34328.3582089552,Diesel,421.0,391.0,361.0,,,,
452,innova,2017,26865.671641791,Diesel,422.0,392.0,362.0,,,,
453,fortuner,2013,23880.5970149254,Diesel,423.0,393.0,363.0,,,,
454,innova,2005,4104.4776119403,Petrol,424.0,394.0,364.0,,,,
455,corolla altis,2009,5373.1343283582,Petrol,425.0,395.0,365.0,,,,
456,etios cross,2015,6716.4179104478,Petrol,426.0,396.0,366.0,,,,
457,corolla altis,2010,7089.552238806,Petrol,427.0,397.0,367.0,,,,
458,etios g,2014,6119.4029850746,Petrol,428.0,398.0,368.0,,,,
459,fortuner,2014,29835.8208955224,Diesel,429.0,399.0,369.0,,,,
460,baleno,2016,8731.3432835821,Petrol,430.0,400.0,370.0,,,,
461,alto k10,2014,3805.9701492537,Petrol,431.0,401.0,371.0,,,,
462,sx4,2008,2910.447761194,Petrol,432.0,402.0,372.0,,,,
463,dzire,2014,8208.9552238806,Diesel,433.0,403.0,373.0,,,,
464,omni,2012,1865.671641791,Petrol,434.0,404.0,374.0,,,,
465,ciaz,2014,11194.0298507463,Petrol,435.0,405.0,375.0,,,,
466,ritz,2013,3955.223880597,Petrol,436.0,406.0,376.0,,,,
467,wagon r,2006,1567.1641791045,Petrol,437.0,407.0,377.0,,,,
468,ertiga,2015,8656.7164179104,Petrol,438.0,408.0,378.0,,,,
469,ciaz,2017,11567.1641791045,Petrol,439.0,409.0,379.0,,,,
470,corolla altis,2016,21985.07462686568,Diesel,440.0,410.0,380.0,,,,
471,etios gd,2015,7089.55223880597,Diesel,441.0,411.0,381.0,,,,
472,innova,2017,34328.35820895522,Diesel,442.0,412.0,382.0,,,,
473,innova,2015,18656.716417910447,Diesel,443.0,413.0,383.0,,,,
474,innova,2005,5208.955223880597,Diesel,444.0,414.0,384.0,,,,
475,camry,2006,3731.3432835820895,Petrol,445.0,415.0,385.0,,,,
476,land cruiser,2010,52238.80597014925,Diesel,446.0,416.0,386.0,,,,
477,corolla altis,2012,8805.970149253732,Petrol,447.0,417.0,387.0,,,,
478,etios liva,2013,5149.253731343284,Petrol,448.0,418.0,388.0,,,,
479,etios g,2014,7089.55223880597,Petrol,449.0,419.0,389.0,,,,
480,ritz,2012,4626.8656716418,Diesel,450.0,420.0,,,,,
481,ritz,2011,3507.4626865672,Petrol,451.0,421.0,,,,,
482,swift,2014,7388.0597014925,Diesel,452.0,422.0,,,,,
483,ertiga,2014,8955.223880597,Diesel,453.0,423.0,,,,,
484,dzire,2014,8208.9552238806,Diesel,454.0,424.0,,,,,
485,sx4,2011,4402.9850746269,CNG,455.0,425.0,,,,,
486,dzire,2015,6940.2985074627,Petrol,456.0,426.0,,,,,
487,800,2003,522.3880597015,Petrol,457.0,427.0,,,,,
488,alto k10,2016,4477.6119402985,Petrol,458.0,428.0,,,,,
489,sx4,2003,3358.2089552239,Petrol,459.0,429.0,,,,,
490,fortuner,2012,22238.8059701493,Diesel,460.0,430.0,,,,,
491,fortuner,2015,34328.3582089552,Diesel,461.0,431.0,,,,,
492,innova,2017,26865.671641791,Diesel,462.0,432.0,,,,,
493,fortuner,2013,23880.5970149254,Diesel,463.0,433.0,,,,,
494,innova,2005,4104.4776119403,Petrol,464.0,434.0,,,,,
495,corolla altis,2009,5373.1343283582,Petrol,465.0,435.0,,,,,
496,etios cross,2015,6716.4179104478,Petrol,466.0,436.0,,,,,
497,corolla altis,2010,7089.552238806,Petrol,467.0,437.0,,,,,
498,etios g,2014,6119.4029850746,Petrol,468.0,438.0,,,,,
499,fortuner,2014,29835.8208955224,Diesel,469.0,439.0,,,,,
500,baleno,2016,8731.3432835821,Petrol,470.0,440.0,,,,,
501,alto k10,2014,3805.9701492537,Petrol,471.0,441.0,,,,,
502,sx4,2008,2910.447761194,Petrol,472.0,442.0,,,,,
503,dzire,2014,8208.9552238806,Diesel,473.0,443.0,,,,,
504,omni,2012,1865.671641791,Petrol,474.0,444.0,,,,,
505,ciaz,2014,11194.0298507463,Petrol,475.0,445.0,,,,,
506,ritz,2013,3955.223880597,Petrol,476.0,446.0,,,,,
507,wagon r,2006,1567.1641791045,Petrol,477.0,447.0,,,,,
508,ertiga,2015,8656.7164179104,Petrol,478.0,448.0,,,,,
509,ciaz,2017,11567.1641791045,Petrol,479.0,449.0,,,,,
510,corolla altis,2016,21985.07462686568,Diesel,480.0,450.0,,,,,
511,etios gd,2015,7089.55223880597,Diesel,481.0,451.0,,,,,
512,innova,2017,34328.35820895522,Diesel,482.0,452.0,,,,,
513,innova,2015,18656.716417910447,Diesel,483.0,453.0,,,,,
514,innova,2005,5208.955223880597,Diesel,484.0,454.0,,,,,
515,camry,2006,3731.3432835820895,Petrol,485.0,455.0,,,,,
516,land cruiser,2010,52238.80597014925,Diesel,486.0,456.0,,,,,
517,corolla altis,2012,8805.970149253732,Petrol,487.0,457.0,,,,,
518,etios liva,2013,5149.253731343284,Petrol,488.0,458.0,,,,,
519,etios g,2014,7089.55223880597,Petrol,489.0,459.0,,,,,
520,etios liva,2014,5895.522388059701,Diesel,490.0,460.0,,,,,
521,corolla altis,2011,6716.417910447762,Diesel,491.0,461.0,,,,,
522,corolla altis,2013,11119.402985074626,Petrol,492.0,462.0,,,,,
523,etios liva,2011,3955.223880597015,Petrol,493.0,463.0,,,,,
524,etios cross,2014,7313.432835820897,Diesel,494.0,464.0,,,,,
525,etios g,2015,5895.522388059701,Petrol,495.0,465.0,,,,,
526,corolla altis,2013,8208.955223880597,Petrol,496.0,466.0,,,,,
527,corolla,2004,2238.805970149254,Petrol,497.0,467.0,,,,,
528,corolla altis,2010,7835.820895522388,Petrol,498.0,468.0,,,,,
529,fortuner,2012,21641.79104477612,Diesel,499.0,469.0,,,,,
530,corolla altis,2013,10373.134328358208,Petrol,500.0,470.0,,,,,
531,etios cross,2015,6716.417910447762,Petrol,501.0,471.0,,,,,
532,fortuner,2014,27985.07462686568,Diesel,502.0,472.0,,,,,
533,fortuner,2015,35074.62686567164,Diesel,503.0,473.0,,,,,
534,fortuner,2017,49253.73134328358,Diesel,504.0,474.0,,,,,
535,etios liva,2014,7089.55223880597,Diesel,505.0,475.0,,,,,
536,innova,2017,29477.611940298502,Petrol,506.0,476.0,,,,,
537,fortuner,2010,13805.970149253732,Diesel,507.0,477.0,,,,,
538,corolla altis,2011,6492.537313432835,Petrol,508.0,478.0,,,,,
539,corolla altis,2016,21268.65671641791,Petrol,509.0,479.0,,,,,
540,ritz,2012,4626.8656716418,Diesel,510.0,,,,,,
541,ritz,2011,3507.4626865672,Petrol,511.0,,,,,,
542,swift,2014,7388.0597014925,Diesel,512.0,,,,,,
543,ertiga,2014,8955.223880597,Diesel,513.0,,,,,,
544,dzire,2014,8208.9552238806,Diesel,514.0,,,,,,
545,sx4,2011,4402.9850746269,CNG,515.0,,,,,,
546,dzire,2015,6940.2985074627,Petrol,516.0,,,,,,
547,800,2003,522.3880597015,Petrol,517.0,,,,,,
548,alto k10,2016,4477.6119402985,Petrol,518.0,,,,,,
549,sx4,2003,3358.2089552239,Petrol,519.0,,,,,,
550,fortuner,2012,22238.8059701493,Diesel,520.0,,,,,,
551,fortuner,2015,34328.3582089552,Diesel,521.0,,,,,,
552,innova,2017,26865.671641791,Diesel,522.0,,,,,,
553,fortuner,2013,23880.5970149254,Diesel,523.0,,,,,,
554,innova,2005,4104.4776119403,Petrol,524.0,,,,,,
555,corolla altis,2009,5373.1343283582,Petrol,525.0,,,,,,
556,etios cross,2015,6716.4179104478,Petrol,526.0,,,,,,
557,corolla altis,2010,7089.552238806,Petrol,527.0,,,,,,
558,etios g,2014,6119.4029850746,Petrol,528.0,,,,,,
559,fortuner,2014,29835.8208955224,Diesel,529.0,,,,,,
560,baleno,2016,8731.3432835821,Petrol,530.0,,,,,,
561,alto k10,2014,3805.9701492537,Petrol,531.0,,,,,,
562,sx4,2008,2910.447761194,Petrol,532.0,,,,,,
563,dzire,2014,8208.9552238806,Diesel,533.0,,,,,,
564,omni,2012,1865.671641791,Petrol,534.0,,,,,,
565,ciaz,2014,11194.0298507463,Petrol,535.0,,,,,,
566,ritz,2013,3955.223880597,Petrol,536.0,,,,,,
567,wagon r,2006,1567.1641791045,Petrol,537.0,,,,,,
568,ertiga,2015,8656.7164179104,Petrol,538.0,,,,,,
569,ciaz,2017,11567.1641791045,Petrol,539.0,,,,,,
570,corolla altis,2016,21985.074626865677,Diesel,540.0,,,,,,
571,etios gd,2015,7089.55223880597,Diesel,541.0,,,,,,
572,innova,2017,34328.35820895522,Diesel,542.0,,,,,,
573,innova,2015,18656.716417910447,Diesel,543.0,,,,,,
574,innova,2005,5208.955223880597,Diesel,544.0,,,,,,
575,camry,2006,3731.3432835820895,Petrol,545.0,,,,,,
576,land cruiser,2010,52238.80597014925,Diesel,546.0,,,,,,
577,corolla altis,2012,8805.970149253732,Petrol,547.0,,,,,,
578,etios liva,2013,5149.253731343284,Petrol,548.0,,,,,,
579,etios g,2014,7089.55223880597,Petrol,549.0,,,,,,
580,ritz,2012,4626.8656716418,Diesel,,,,,,,
581,ritz,2011,3507.4626865672,Petrol,,,,,,,
582,swift,2014,7388.0597014925,Diesel,,,,,,,
583,ertiga,2014,8955.223880597,Diesel,,,,,,,
584,dzire,2014,8208.9552238806,Diesel,,,,,,,
585,sx4,2011,4402.9850746269,CNG,,,,,,,
586,dzire,2015,6940.2985074627,Petrol,,,,,,,
587,800,2003,522.3880597015,Petrol,,,,,,,
588,alto k10,2016,4477.6119402985,Petrol,,,,,,,
589,sx4,2003,3358.2089552239,Petrol,,,,,,,
590,fortuner,2012,22238.8059701493,Diesel,,,,,,,
591,fortuner,2015,34328.3582089552,Diesel,,,,,,,
592,innova,2017,26865.671641791,Diesel,,,,,,,
593,fortuner,2013,23880.5970149254,Diesel,,,,,,,
594,innova,2005,4104.4776119403,Petrol,,,,,,,
595,corolla altis,2009,5373.1343283582,Petrol,,,,,,,
596,etios cross,2015,6716.4179104478,Petrol,,,,,,,
597,corolla altis,2010,7089.552238806,Petrol,,,,,,,
598,etios g,2014,6119.4029850746,Petrol,,,,,,,
599,fortuner,2014,29835.8208955224,Diesel,,,,,,,
600,baleno,2016,8731.3432835821,Petrol,,,,,,,
601,alto k10,2014,3805.9701492537,Petrol,,,,,,,
602,sx4,2008,2910.447761194,Petrol,,,,,,,
603,dzire,2014,8208.9552238806,Diesel,,,,,,,
604,omni,2012,1865.671641791,Petrol,,,,,,,
605,ciaz,2014,11194.0298507463,Petrol,,,,,,,
606,ritz,2013,3955.223880597,Petrol,,,,,,,
607,wagon r,2006,1567.1641791045,Petrol,,,,,,,
608,ertiga,2015,8656.7164179104,Petrol,,,,,,,
609,ciaz,2017,11567.1641791045,Petrol,,,,,,,
610,corolla altis,2016,21985.074626865673,Diesel,,,,,,,
611,etios gd,2015,7089.55223880597,Diesel,,,,,,,
612,innova,2017,34328.35820895522,Diesel,,,,,,,
613,innova,2015,18656.716417910447,Diesel,,,,,,,
614,innova,2005,5208.955223880597,Diesel,,,,,,,
615,camry,2006,3731.3432835820895,Petrol,,,,,,,
616,land cruiser,2010,52238.80597014925,Diesel,,,,,,,
617,corolla altis,2012,8805.970149253732,Petrol,,,,,,,
618,etios liva,2013,5149.253731343284,Petrol,,,,,,,
619,etios g,2014,7089.55223880597,Petrol,,,,,,,
